#,Entry Date,Entry Time,Asset,Entry Price,Exit Price,Position Size,Position Qty,Side,Leverage,Profit/Loss ($),Profit/Loss (%),Timeframe,Market Condition,Signal,Notes,Status
1,2026-03-06,18:02,BTCUSDT,70536.00,69859.40,,,SHORT,,$-7.54,-0.96%,,,,LOSS
2,2026-03-06,19:02,HUMAUSDT,0.02,0.02,,,SHORT,,$-1.50,-3.69%,,,,LOSS
3,2026-03-06,18:29,HUMAUSDT,0.02,0.02,,,SHORT,,$-0.10,-1.81%,,,,LOSS
4,2026-03-06,18:30,KITEUSDT,0.32,0.32,,,SHORT,,$-0.07,-1.18%,,,,LOSS
5,2026-03-06,18:30,ROAMUSDT,0.04,0.04,,,SHORT,,$-0.03,-0.45%,,,,LOSS
6,2026-03-05,19:00,BTCUSDT,72576.28,72986.60,,,SHORT,,$3.66,0.57%,,,,WIN
7,2026-03-04,22:48,BTCUSDT,71389.21,71589.47,,,LONG,,$-276.11,0.28%,,,,LOSS
8,2026-03-04,22:47,BTCUSDT,71761.10,71390.82,,,SHORT,,$-4.49,-0.52%,,,,LOSS
9,2026-03-04,22:19,BTCUSDT,71667.20,72031.64,,,LONG,,$-44.35,0.51%,,,,LOSS
10,2026-03-04,17:42,BTCUSDT,69879.45,71799.40,,,LONG,,$-397.12,2.75%,,,,LOSS
11,2026-03-04,17:42,SOLUSDT,87.37,90.92,,,LONG,,$-182.40,4.06%,,,,LOSS
12,2026-03-04,17:42,BNBUSDT,643.50,653.41,,,LONG,,$-10.63,1.54%,,,,LOSS
13,2026-03-04,17:42,ETHUSDT,2025.63,2084.04,,,LONG,,$-121.33,2.88%,,,,LOSS
14,2026-03-03,18:13,BTCUSDT,66456.00,66655.00,,,LONG,,$-27.22,0.30%,,,,LOSS
15,2026-03-03,16:45,BTCUSDT,67515.60,66497.47,,,LONG,,$94.44,-1.51%,,,,WIN
16,2026-03-03,16:20,BTCUSDT,68008.71,67695.70,,,SHORT,,$-38.76,-0.46%,,,,LOSS
17,2026-03-03,04:24,BTCUSDT,68887.90,68175.56,,,LONG,,$63.82,-1.03%,,,,WIN
18,2026-03-02,01:17,SOLUSDT,84.94,83.49,,,SHORT,,$-15.51,-1.71%,,,,LOSS
19,2026-03-01,17:52,BTCUSDT,66272.50,66468.44,,,LONG,,$-2.69,0.30%,,,,LOSS
20,2026-03-01,16:31,BTCUSDT,67081.35,66701.69,,,SHORT,,$-9.19,-0.57%,,,,LOSS
21,2026-03-01,10:36,SOLUSDT,81.19,88.17,,,SHORT,,$43.59,8.60%,,,,WIN
